,result
19124,1
19125,9
19126,7
19127,3
19128,7
19129,1
19130,7
19131,8
19132,3
19133,7
19134,7
19135,6
19136,2
19137,0
19138,1
19139,2
19140,7
19141,6
19142,6
19143,8
19144,6
19145,3
19146,8
19147,2
19148,6
19149,8
19150,2
19151,1
19152,0
19153,1
19154,4
19155,7
19156,1
19157,0
19158,9
19159,6
19160,7
19161,9
19162,4
19163,1
19164,3
19165,6
19166,0
19167,0
19168,9
19169,4
19170,4
19171,6
19172,3
19173,4
19174,3
19175,4
19176,6
19177,0
19178,0
19179,8
19180,4
19181,0
19182,4
19183,6
19184,4
19185,2
19186,0
19187,3
19188,9
19189,1
19190,3
19191,3
19192,0
19193,6
19194,4
19195,8
19196,1
19197,1
19198,5
19199,0
19200,1
19201,7
19202,1
19203,0
19204,6
19205,8
19206,0
19207,8
19208,3
19209,3
19210,3
19211,7
19212,3
19213,8
19214,0
19215,9
19216,9
19217,2
19218,4
19219,6
19220,1
19221,2
19222,3
19223,5
19224,9
19225,3
19226,6
19227,1
19228,8
19229,7
19230,1
19231,3
19232,1
19233,9
19234,6
19235,1
19236,3
19237,9
19238,8
19239,9
19240,5
19241,6
19242,7
19243,0
19244,1
19245,3
19246,6
19247,9
19248,9
19249,2
19250,8
19251,8
19252,0
19253,1
19254,8
19255,4
19256,8
19257,3
19258,9
19259,6
19260,9
19261,2
19262,3
19263,9
19264,1
19265,2
19266,3
19267,9
19268,1
19269,1
19270,6
19271,6
19272,2
19273,1
19274,1
19275,8
19276,8
19277,9
19278,0
19279,4
19280,9
19281,0
19282,3
19283,5
19284,3
19285,0
19286,7
19287,1
19288,9
19289,2
19290,0
19291,3
19292,4
19293,4
19294,1
19295,3
19296,3
19297,6
19298,7
19299,7
19300,7
19301,0
19302,1
19303,9
19304,0
19305,0
19306,6
19307,1
19308,1
19309,1
19310,1
19311,3
19312,0
19313,4
19314,7
19315,9
19316,6
19317,6
19318,7
19319,7
19320,8
19321,0
19322,1
19323,9
19324,1
19325,0
19326,9
19327,1
19328,1
19329,2
19330,0
19331,3
19332,6
19333,4
19334,4
19335,3
19336,1
19337,6
19338,6
19339,7
19340,6
19341,0
19342,0
19343,9
19344,0
19345,6
19346,1
19347,4
19348,7
19349,2
19350,9
19351,6
19352,1
19353,9
19354,1
19355,7
19356,3
19357,3
19358,6
19359,3
19360,8
19361,4
19362,8
19363,7
19364,1
19365,8
19366,0
19367,9
19368,6
19369,2
19370,7
19371,9
19372,9
19373,3
19374,6
19375,9
19376,9
19377,3
19378,4
19379,8
19380,9
19381,2
19382,4
19383,0
19384,9
19385,9
19386,0
19387,8
19388,8
19389,0
19390,0
19391,3
19392,7
19393,6
19394,1
19395,0
19396,4
19397,1
19398,3
19399,0
19400,8
19401,9
19402,3
19403,2
19404,9
19405,6
19406,0
19407,3
19408,0
19409,3
19410,4
19411,3
19412,2
19413,3
19414,1
19415,8
19416,1
19417,3
19418,9
19419,9
19420,0
19421,1
19422,6
19423,3
19424,6
19425,3
19426,7
19427,0
19428,1
19429,8
19430,6
19431,8
19432,9
19433,0
19434,1
19435,6
19436,1
19437,2
19438,9
19439,7
19440,5
19441,1
19442,3
19443,1
19444,7
19445,8
19446,9
19447,1
19448,1
19449,7
19450,1
19451,1
19452,7
19453,3
19454,3
19455,8
19456,0
19457,3
19458,7
19459,2
19460,0
19461,0
19462,6
19463,9
19464,8
19465,7
19466,5
19467,6
19468,0
19469,7
19470,6
19471,4
19472,9
19473,1
19474,1
19475,6
19476,1
19477,8
19478,1
19479,9
19480,6
19481,7
19482,1
19483,3
19484,6
19485,1
19486,8
19487,2
19488,4
19489,6
19490,4
19491,7
19492,2
19493,9
19494,3
19495,8
19496,1
19497,0
19498,9
19499,6
19500,7
19501,9
19502,9
19503,4
19504,1
19505,6
19506,7
19507,2
19508,9
19509,3
19510,2
19511,7
19512,0
19513,1
19514,8
19515,9
19516,1
19517,2
19518,0
19519,2
19520,6
19521,8
19522,7
19523,3
19524,1
19525,7
19526,2
19527,8
19528,3
19529,0
19530,2
19531,1
19532,9
19533,1
19534,9
19535,3
19536,3
19537,1
19538,3
19539,5
19540,1
19541,6
19542,0
19543,7
19544,8
19545,8
19546,6
19547,0
19548,2
19549,1
19550,4
19551,2
19552,3
19553,3
19554,7
19555,9
19556,8
19557,3
19558,4
19559,6
19560,3
19561,7
19562,7
19563,8
19564,1
19565,9
19566,6
19567,0
19568,8
19569,1
19570,2
19571,2
19572,6
19573,3
19574,2
19575,4
19576,8
19577,0
19578,7
19579,6
19580,5
19581,7
19582,8
19583,8
19584,0
19585,9
19586,3
19587,1
19588,8
19589,9
19590,8
19591,2
19592,8
19593,6
19594,7
19595,1
19596,1
19597,7
19598,8
19599,6
19600,1
19601,3
19602,4
19603,3
19604,4
19605,4
19606,1
19607,8
19608,6
19609,2
19610,7
19611,6
19612,4
19613,9
19614,6
19615,7
19616,4
19617,2
19618,2
19619,3
19620,8
19621,4
19622,1
19623,3
19624,9
19625,9
19626,0
19627,2
19628,1
19629,0
19630,3
19631,3
19632,2
19633,9
19634,9
19635,9
19636,6
19637,9
19638,6
19639,7
19640,9
19641,3
19642,7
19643,9
19644,0
19645,3
19646,6
19647,8
19648,9
19649,7
19650,0
19651,1
19652,9
19653,4
19654,8
19655,9
19656,4
19657,8
19658,2
19659,5
19660,4
19661,8
19662,4
19663,2
19664,9
19665,6
19666,1
19667,9
19668,4
19669,6
19670,4
19671,3
19672,2
19673,6
19674,8
19675,0
19676,0
19677,2
19678,6
19679,0
19680,6
19681,7
19682,4
19683,2
19684,6
19685,3
19686,8
19687,1
19688,3
19689,3
19690,0
19691,2
19692,8
19693,7
19694,0
19695,3
19696,1
19697,1
19698,9
19699,9
19700,2
19701,0
19702,1
19703,1
19704,1
19705,7
19706,4
19707,0
19708,3
19709,8
19710,8
19711,3
19712,9
19713,6
19714,0
19715,8
19716,7
19717,2
19718,8
19719,1
19720,5
19721,3
19722,4
19723,3
19724,8
19725,0
19726,5
19727,7
19728,3
19729,0
19730,6
19731,8
19732,6
19733,7
19734,1
19735,2
19736,8
19737,4
19738,9
19739,9
19740,3
19741,8
19742,6
19743,0
19744,1
19745,1
19746,3
19747,0
19748,1
19749,1
19750,0
19751,1
19752,3
19753,6
19754,0
19755,0
19756,7
19757,0
19758,1
19759,9
19760,4
19761,9
19762,3
19763,8
19764,1
19765,6
19766,1
19767,1
19768,3
19769,6
19770,6
19771,6
19772,9
19773,0
19774,1
19775,7
19776,8
19777,6
19778,5
19779,1
19780,2
19781,1
19782,7
19783,3
19784,4
19785,1
19786,1
19787,2
19788,7
19789,3
19790,9
19791,4
19792,7
19793,5
19794,1
19795,6
19796,8
19797,7
19798,8
19799,7
19800,2
19801,9
19802,3
19803,0
19804,2
19805,1
19806,0
19807,2
19808,9
19809,3
19810,9
19811,4
19812,1
19813,8
19814,0
19815,6
19816,7
19817,7
19818,0
19819,1
19820,3
19821,9
19822,1
19823,0
19824,1
19825,1
19826,4
19827,2
19828,9
19829,8
19830,7
19831,4
19832,9
19833,7
19834,6
19835,1
19836,0
19837,9
19838,1
19839,0
19840,3
19841,7
19842,1
19843,8
19844,4
19845,4
19846,4
19847,1
19848,4
19849,8
19850,7
19851,8
19852,9
19853,1
19854,2
19855,8
19856,4
19857,1
19858,1
19859,8
19860,6
19861,3
19862,7
19863,7
19864,1
19865,9
19866,4
19867,3
19868,7
19869,4
19870,3
19871,7
19872,9
19873,1
19874,1
19875,4
19876,1
19877,7
19878,4
19879,1
19880,3
19881,9
19882,3
19883,9
19884,4
19885,1
19886,8
19887,4
19888,9
19889,6
19890,8
19891,7
19892,0
19893,6
19894,4
19895,7
19896,3
19897,7
19898,1
19899,1
19900,9
19901,6
19902,2
19903,4
19904,7
19905,9
19906,6
19907,3
19908,6
19909,9
19910,1
19911,3
19912,2
19913,9
19914,0
19915,3
19916,2
19917,6
19918,1
19919,0
19920,8
19921,0
19922,3
19923,2
19924,3
19925,4
19926,7
19927,2
19928,0
19929,7
19930,3
19931,4
19932,0
19933,9
19934,1
19935,9
19936,8
19937,1
19938,9
19939,2
19940,1
19941,8
19942,0
19943,6
19944,6
19945,1
19946,3
19947,1
19948,1
19949,8
19950,3
19951,1
19952,0
19953,0
19954,0
19955,3
19956,4
19957,0
19958,0
19959,6
19960,0
19961,1
19962,6
19963,6
19964,7
19965,9
19966,9
19967,9
19968,3
19969,9
19970,1
19971,1
19972,7
19973,8
19974,2
19975,8
19976,8
19977,6
19978,0
19979,7
19980,0
19981,1
19982,7
19983,1
19984,3
19985,7
19986,3
19987,0
19988,8
19989,1
19990,9
19991,2
19992,6
19993,3
19994,3
19995,9
19996,3
19997,5
19998,7
19999,6
20000,9
20001,7
20002,1
20003,8
20004,7
20005,9
20006,2
20007,0
20008,3
20009,1
20010,7
20011,2
20012,2
20013,3
20014,3
20015,4
20016,6
20017,8
20018,3
20019,6
20020,0
20021,7
20022,8
20023,6
20024,3
20025,9
20026,7
20027,0
20028,8
20029,1
20030,3
20031,2
20032,6
20033,3
20034,4
20035,4
20036,8
20037,5
20038,0
20039,6
20040,0
20041,7
20042,9
20043,8
20044,0
20045,9
20046,0
20047,7
20048,3
20049,7
20050,3
20051,7
20052,6
20053,3
20054,7
20055,0
20056,7
20057,3
20058,0
20059,1
20060,9
20061,8
20062,8
20063,7
20064,9
20065,6
20066,8
20067,4
20068,9
20069,3
20070,1
20071,6
20072,8
20073,0
20074,4
20075,2
20076,7
20077,6
20078,1
20079,8
20080,7
20081,3
20082,9
20083,2
20084,3
20085,8
20086,4
20087,1
20088,1
20089,1
20090,3
20091,7
20092,6
20093,2
20094,5
20095,0
20096,1
20097,7
20098,8
20099,1
20100,8
20101,6
20102,5
20103,0
20104,1
20105,4
20106,4
20107,6
20108,9
20109,9
20110,9
20111,4
20112,6
20113,5
20114,0
20115,8
20116,9
20117,0
20118,1
20119,6
20120,2
20121,6
20122,3
20123,3
20124,6
20125,1
20126,6
20127,3
20128,4
20129,6
20130,3
20131,5
20132,4
20133,1
20134,9
20135,6
20136,8
20137,9
20138,8
20139,0
20140,3
20141,7
20142,1
20143,3
20144,1
20145,8
20146,7
20147,8
20148,3
20149,3
20150,4
20151,7
20152,1
20153,8
20154,3
20155,9
20156,3
20157,2
20158,1
20159,6
20160,6
20161,8
20162,0
20163,5
20164,2
20165,3
20166,4
20167,1
20168,6
20169,7
20170,1
20171,3
20172,4
20173,9
20174,1
20175,1
20176,0
20177,9
20178,0
20179,9
20180,6
20181,6
20182,1
20183,0
20184,0
20185,9
20186,6
20187,3
20188,1
20189,7
20190,1
20191,0
20192,4
20193,9
20194,3
20195,5
20196,0
20197,0
20198,9
20199,9
20200,8
20201,2
20202,1
20203,8
20204,3
20205,1
20206,1
20207,4
20208,8
20209,3
20210,6
20211,5
20212,9
20213,2
20214,3
20215,9
20216,7
20217,4
20218,7
20219,0
20220,9
20221,2
20222,3
20223,9
20224,2
20225,1
20226,9
20227,6
20228,5
20229,5
20230,0
20231,8
20232,7
20233,9
20234,7
20235,4
20236,5
20237,2
20238,1
20239,5
20240,4
20241,0
20242,4
20243,1
20244,3
20245,2
20246,4
20247,3
20248,8
20249,9
20250,1
20251,3
20252,6
20253,6
20254,9
20255,7
20256,0
20257,8
20258,0
20259,9
20260,6
20261,0
20262,0
20263,1
20264,4
20265,2
20266,4
20267,3
20268,1
20269,9
20270,3
20271,7
20272,7
20273,8
20274,7
20275,9
20276,9
20277,0
20278,9
20279,1
20280,2
20281,9
20282,9
20283,5
20284,3
20285,6
20286,9
20287,7
20288,9
20289,8
20290,5
20291,3
20292,0
20293,9
20294,1
20295,1
20296,4
20297,9
20298,0
20299,6
20300,8
20301,6
20302,9
20303,7
20304,7
20305,3
20306,3
20307,1
20308,0
20309,9
20310,1
20311,3
20312,1
20313,0
20314,9
20315,0
20316,9
20317,1
20318,6
20319,9
20320,3
20321,6
20322,1
20323,0
20324,3
20325,2
20326,2
20327,8
20328,5
20329,2
20330,2
20331,9
20332,9
20333,8
20334,9
20335,1
20336,9
20337,7
20338,8
20339,0
20340,2
20341,2
20342,6
20343,0
20344,0
20345,6
20346,9
20347,6
20348,8
20349,9
20350,1
20351,8
20352,4
20353,9
20354,7
20355,1
20356,7
20357,3
20358,6
20359,9
20360,3
20361,9
20362,6
20363,5
20364,3
20365,4
20366,0
20367,9
20368,3
20369,0
20370,5
20371,0
20372,0
20373,8
20374,7
20375,6
20376,6
20377,6
20378,3
20379,8
20380,0
20381,5
20382,6
20383,3
20384,6
20385,1
20386,6
20387,5
20388,1
20389,6
20390,1
20391,3
20392,6
20393,6
20394,6
20395,7
20396,6
20397,9
20398,6
20399,3
20400,9
20401,1
20402,6
20403,8
20404,9
20405,0
20406,1
20407,3
20408,0
20409,1
20410,6
20411,8
20412,3
20413,5
20414,8
20415,8
20416,9
20417,7
20418,6
20419,7
20420,1
20421,1
20422,0
20423,7
20424,9
20425,6
20426,9
20427,0
20428,9
20429,1
20430,9
20431,2
20432,3
20433,3
20434,3
20435,4
20436,0
20437,0
20438,0
20439,0
20440,9
20441,7
20442,1
20443,8
20444,6
20445,1
20446,7
20447,0
20448,3
20449,3
20450,9
20451,5
20452,6
20453,0
20454,2
20455,1
20456,4
20457,0
20458,9
20459,1
20460,0
20461,0
20462,9
20463,3
20464,3
20465,4
20466,3
20467,3
20468,2
20469,0
20470,6
20471,8
20472,6
20473,1
20474,8
20475,0
20476,1
20477,0
20478,3
20479,1
20480,4
20481,5
20482,0
20483,0
20484,5
20485,1
20486,9
20487,1
20488,3
20489,9
20490,6
20491,8
20492,1
20493,9
20494,4
20495,1
20496,8
20497,0
20498,6
20499,7
20500,7
20501,0
20502,1
20503,3
20504,7
20505,3
20506,6
20507,0
20508,0
20509,0
20510,4
20511,0
20512,9
20513,7
20514,1
20515,8
20516,6
20517,3
20518,9
20519,8
20520,8
20521,0
20522,2
20523,8
20524,6
20525,9
20526,3
20527,0
20528,7
20529,0
20530,6
20531,1
20532,8
20533,2
20534,3
20535,1
20536,9
20537,1
20538,0
20539,1
20540,2
20541,2
20542,2
20543,8
20544,8
20545,6
20546,4
20547,3
20548,3
20549,7
20550,3
20551,6
20552,8
20553,3
20554,3
20555,3
20556,1
20557,8
20558,9
20559,1
20560,1
20561,3
20562,2
20563,0
20564,4
20565,0
20566,4
20567,4
20568,7
20569,8
20570,4
20571,9
20572,3
20573,4
20574,3
20575,7
20576,6
20577,0
20578,1
20579,7
20580,8
20581,1
20582,9
20583,8
20584,6
20585,2
20586,9
20587,1
20588,1
20589,7
20590,5
20591,7
20592,8
20593,3
20594,9
20595,2
20596,3
20597,0
20598,1
20599,4
20600,2
20601,6
20602,9
20603,6
20604,1
20605,8
20606,6
20607,3
20608,0
20609,9
20610,1
20611,8
20612,9
20613,6
20614,6
20615,5
20616,3
20617,1
20618,6
20619,0
20620,0
20621,3
20622,6
20623,0
20624,2
20625,3
20626,7
20627,4
20628,8
20629,7
20630,1
20631,9
20632,1
20633,6
20634,4
20635,0
20636,6
20637,0
20638,1
20639,0
20640,3
20641,0
20642,9
20643,9
20644,3
20645,0
20646,2
20647,1
20648,9
20649,2
20650,6
20651,3
20652,4
20653,9
20654,6
20655,5
20656,0
20657,6
20658,0
20659,7
20660,8
20661,3
20662,3
20663,1
20664,3
20665,0
20666,8
20667,1
20668,7
20669,2
20670,6
20671,3
20672,8
20673,4
20674,3
20675,8
20676,5
20677,6
20678,3
20679,7
20680,5
20681,9
20682,9
20683,9
20684,7
20685,0
20686,0
20687,1
20688,2
20689,2
20690,2
20691,3
20692,3
20693,9
20694,3
20695,8
20696,1
20697,6
20698,1
20699,7
20700,3
20701,8
20702,3
20703,7
20704,9
20705,9
20706,3
20707,9
20708,9
20709,9
20710,3
20711,3
20712,0
20713,0
20714,7
20715,3
20716,6
20717,1
20718,1
20719,8
20720,8
20721,7
20722,0
20723,6
20724,3
20725,9
20726,1
20727,5
20728,0
20729,6
20730,3
20731,0
20732,3
20733,7
20734,1
20735,6
20736,0
20737,9
20738,0
20739,3
20740,6
20741,2
20742,9
20743,8
20744,3
20745,1
20746,1
20747,1
20748,4
20749,9
20750,7
20751,2
20752,9
20753,6
20754,6
20755,9
20756,6
20757,1
20758,4
20759,6
20760,3
20761,0
20762,3
20763,9
20764,9
20765,6
20766,6
20767,9
20768,6
20769,4
20770,2
20771,5
20772,1
20773,8
20774,1
20775,0
20776,8
20777,6
20778,7
20779,2
20780,1
20781,3
20782,2
20783,3
20784,0
20785,6
20786,8
20787,8
20788,2
20789,1
20790,4
20791,8
20792,6
20793,8
20794,2
20795,9
20796,6
20797,9
20798,4
20799,0
20800,2
20801,7
20802,1
20803,8
20804,8
20805,9
20806,9
20807,8
20808,4
20809,3
20810,6
20811,7
20812,1
20813,9
20814,3
20815,9
20816,4
20817,7
20818,0
20819,6
20820,0
20821,2
20822,9
20823,8
20824,3
20825,3
20826,7
20827,1
20828,9
20829,7
20830,3
20831,3
20832,0
20833,9
20834,9
20835,1
20836,0
20837,9
20838,7
20839,9
20840,0
20841,6
20842,6
20843,0
20844,9
20845,9
20846,9
20847,9
20848,6
20849,3
20850,0
20851,7
20852,1
20853,0
20854,7
20855,4
20856,3
20857,8
20858,9
20859,0
20860,8
20861,9
20862,5
20863,7
20864,9
20865,9
20866,3
20867,1
20868,3
20869,4
20870,9
20871,3
20872,9
20873,5
20874,6
20875,2
20876,5
20877,9
20878,3
20879,4
20880,3
20881,0
20882,0
20883,2
20884,6
20885,9
20886,7
20887,1
20888,1
20889,6
20890,9
20891,5
20892,1
20893,8
20894,7
20895,9
20896,8
20897,9
20898,1
20899,2
20900,1
20901,8
20902,9
20903,0
20904,4
20905,1
20906,9
20907,2
20908,8
20909,3
20910,1
20911,9
20912,6
20913,0
20914,1
20915,6
20916,7
20917,7
20918,0
20919,8
20920,6
20921,9
20922,2
20923,0
20924,1
20925,1
20926,3
20927,2
20928,3
20929,3
20930,0
20931,6
20932,2
20933,7
20934,6
20935,8
20936,3
20937,0
20938,6
20939,1
20940,1
20941,2
20942,3
20943,3
20944,1
20945,7
20946,6
20947,8
20948,8
20949,9
20950,4
20951,1
20952,8
20953,8
20954,9
20955,6
20956,8
20957,7
20958,6
20959,1
20960,1
20961,1
20962,6
20963,4
20964,7
20965,3
20966,7
20967,7
20968,1
20969,7
20970,9
20971,8
20972,0
20973,9
20974,2
20975,3
20976,9
20977,6
20978,8
20979,0
20980,0
20981,3
20982,7
20983,6
20984,1
20985,4
20986,1
20987,8
20988,6
20989,3
20990,0
20991,1
20992,4
20993,1
20994,6
20995,0
20996,8
20997,9
20998,1
20999,0
21000,5
21001,4
21002,3
21003,1
21004,9
21005,7
21006,6
21007,9
21008,8
21009,0
21010,2
21011,1
21012,1
21013,1
21014,4
21015,9
21016,4
21017,8
21018,1
21019,6
21020,1
21021,6
21022,3
21023,0
21024,8
21025,1
21026,2
21027,8
21028,1
21029,8
21030,8
21031,3
21032,3
21033,2
21034,1
21035,0
21036,4
21037,9
21038,3
21039,7
21040,4
21041,4
21042,5
21043,0
21044,6
21045,8
21046,6
21047,3
21048,8
21049,0
21050,0
21051,3
21052,1
21053,0
21054,7
21055,9
21056,9
21057,7
21058,7
21059,7
21060,3
21061,1
21062,4
21063,1
21064,1
21065,0
21066,9
21067,3
21068,1
21069,0
21070,0
21071,1
21072,8
21073,6
21074,9
21075,3
21076,8
21077,4
21078,3
21079,8
21080,4
21081,6
21082,0
21083,4
21084,3
21085,3
21086,6
21087,9
21088,4
21089,0
21090,6
21091,1
21092,0
21093,2
21094,0
21095,3
21096,8
21097,4
21098,7
21099,5
21100,3
21101,6
21102,9
21103,7
21104,1
21105,3
21106,8
21107,9
21108,2
21109,0
21110,9
21111,1
21112,9
21113,3
21114,0
21115,3
21116,9
21117,6
21118,8
21119,6
21120,3
21121,0
21122,0
21123,1
21124,1
21125,4
21126,8
21127,3
21128,9
21129,9
21130,9
21131,3
21132,3
21133,3
21134,6
21135,3
21136,1
21137,0
21138,3
21139,6
21140,3
21141,4
21142,1
21143,3
21144,7
21145,0
21146,8
21147,3
21148,0
21149,6
21150,2
21151,7
21152,3
21153,0
21154,0
21155,2
21156,6
21157,7
21158,7
21159,1
21160,3
21161,6
21162,2
21163,9
21164,9
21165,2
21166,7
21167,3
21168,1
21169,0
21170,0
21171,2
21172,1
21173,3
21174,9
21175,6
21176,4
21177,8
21178,2
21179,0
21180,9
21181,8
21182,1
21183,3
21184,7
21185,3
21186,2
21187,1
21188,2
21189,6
21190,6
21191,9
21192,2
21193,6
21194,1
21195,8
21196,4
21197,3
21198,6
21199,7
21200,0
21201,1
21202,1
21203,7
21204,6
21205,1
21206,0
21207,1
21208,6
21209,0
21210,8
21211,3
21212,3
21213,4
21214,3
21215,2
21216,9
21217,6
21218,4
21219,7
21220,7
21221,4
21222,9
21223,2
21224,5
21225,6
21226,0
21227,4
21228,3
21229,2
21230,9
21231,9
21232,3
21233,2
21234,9
21235,9
21236,8
21237,9
21238,3
21239,8
21240,6
21241,0
21242,1
21243,6
21244,6
21245,1
21246,0
21247,0
21248,3
21249,6
21250,1
21251,8
21252,1
21253,5
21254,2
21255,8
21256,1
21257,0
21258,2
21259,3
21260,9
21261,3
21262,1
21263,3
21264,2
21265,7
21266,6
21267,4
21268,6
21269,8
21270,1
21271,0
21272,4
21273,9
21274,3
21275,6
21276,1
21277,9
21278,8
21279,3
21280,0
21281,0
21282,3
21283,0
21284,1
21285,6
21286,8
21287,3
21288,5
21289,0
21290,0
21291,3
21292,9
21293,9
21294,8
21295,9
21296,8
21297,1
21298,6
21299,3
21300,1
21301,1
21302,7
21303,6
21304,9
21305,0
21306,6
21307,6
21308,4
21309,1
21310,5
21311,2
21312,3
21313,3
21314,5
21315,4
21316,3
21317,3
21318,0
21319,6
21320,6
21321,7
21322,0
21323,8
21324,8
21325,9
21326,0
21327,0
21328,0
21329,1
21330,1
21331,8
21332,0
21333,3
21334,9
21335,4
21336,1
21337,0
21338,6
21339,6
21340,9
21341,7
21342,9
21343,6
21344,4
21345,1
21346,4
21347,2
21348,1
21349,3
21350,6
21351,4
21352,9
21353,0
21354,1
21355,6
21356,0
21357,7
21358,1
21359,3
21360,7
21361,9
21362,3
21363,6
21364,9
21365,4
21366,3
21367,3
21368,9
21369,6
21370,4
21371,9
21372,8
21373,7
21374,2
21375,9
21376,0
21377,3
21378,8
21379,7
21380,0
21381,8
21382,6
21383,9
21384,1
21385,2
21386,8
21387,9
21388,1
21389,3
21390,6
21391,9
21392,7
21393,3
21394,0
21395,0
21396,1
21397,9
21398,4
21399,8
21400,5
21401,0
21402,6
21403,3
21404,6
21405,6
21406,9
21407,0
21408,3
21409,1
21410,1
21411,0
21412,5
21413,3
21414,0
21415,6
21416,5
21417,0
21418,9
21419,3
21420,0
21421,0
21422,8
21423,3
21424,4
21425,8
21426,2
21427,0
21428,6
21429,0
21430,9
21431,0
21432,2
21433,9
21434,2
21435,8
21436,0
21437,4
21438,6
21439,1
21440,9
21441,3
21442,6
21443,3
21444,2
21445,0
21446,0
21447,3
21448,9
21449,6
21450,9
21451,2
21452,3
21453,9
21454,1
21455,1
21456,7
21457,1
21458,3
21459,3
21460,9
21461,1
21462,0
21463,7
21464,1
21465,1
21466,0
21467,3
21468,9
21469,8
21470,2
21471,3
21472,2
21473,4
21474,1
21475,2
21476,9
21477,0
21478,3
21479,9
21480,3
21481,7
21482,5
21483,6
21484,6
21485,7
21486,3
21487,4
21488,3
21489,1
21490,3
21491,6
21492,0
21493,8
21494,4
21495,4
21496,6
21497,7
21498,7
21499,0
21500,0
21501,1
21502,6
21503,7
21504,6
21505,6
21506,1
21507,7
21508,8
21509,1
21510,3
21511,9
21512,0
21513,8
21514,4
21515,9
21516,7
21517,9
21518,3
21519,9
21520,2
21521,9
21522,2
21523,6
21524,8
21525,2
21526,3
21527,0
21528,1
21529,7
21530,6
21531,1
21532,7
21533,9
21534,3
21535,2
21536,6
21537,8
21538,9
21539,0
21540,7
21541,3
21542,7
21543,7
21544,0
21545,8
21546,7
21547,0
21548,2
21549,1
21550,0
21551,2
21552,4
21553,3
21554,7
21555,4
21556,6
21557,5
21558,1
21559,6
21560,3
21561,7
21562,8
21563,8
21564,1
21565,9
21566,9
21567,0
21568,8
21569,1
21570,3
21571,2
21572,1
21573,3
21574,7
21575,4
21576,0
21577,7
21578,1
21579,8
21580,0
21581,9
21582,1
21583,0
21584,4
21585,1
21586,9
21587,2
21588,9
21589,3
21590,1
21591,4
21592,7
21593,5
21594,5
21595,6
21596,9
21597,7
21598,1
21599,8
21600,2
21601,7
21602,3
21603,0
21604,1
21605,9
21606,8
21607,5
21608,8
21609,0
21610,3
21611,9
21612,9
21613,8
21614,7
21615,9
21616,8
21617,4
21618,3
21619,1
21620,0
21621,7
21622,6
21623,7
21624,6
21625,8
21626,9
21627,3
21628,0
21629,1
21630,1
21631,0
21632,1
21633,0
21634,1
21635,7
21636,8
21637,0
21638,0
21639,1
21640,3
21641,2
21642,6
21643,2
21644,3
21645,2
21646,0
21647,7
21648,3
21649,3
21650,9
21651,3
21652,2
21653,6
21654,9
21655,6
21656,3
21657,1
21658,0
21659,0
21660,8
21661,9
21662,1
21663,0
21664,2
21665,1
21666,3
21667,7
21668,3
21669,6
21670,3
21671,3
21672,2
21673,9
21674,6
21675,3
21676,4
21677,1
21678,3
21679,9
21680,6
21681,1
21682,6
21683,7
21684,1
21685,6
21686,4
21687,8
21688,9
21689,4
21690,3
21691,3
21692,9
21693,1
21694,4
21695,4
21696,1
21697,0
21698,9
21699,0
21700,7
21701,3
21702,6
21703,0
21704,6
21705,9
21706,1
21707,1
21708,6
21709,7
21710,9
21711,5
21712,0
21713,4
21714,7
21715,4
21716,0
21717,7
21718,3
21719,3
21720,0
21721,2
21722,7
21723,7
21724,6
21725,9
21726,3
21727,0
21728,7
21729,1
21730,9
21731,9
21732,4
21733,8
21734,9
21735,0
21736,2
21737,1
21738,4
21739,7
21740,8
21741,3
21742,5
21743,4
21744,1
21745,0
21746,1
21747,7
21748,9
21749,0
21750,6
21751,1
21752,2
21753,2
21754,2
21755,0
21756,7
21757,6
21758,0
21759,1
21760,5
21761,2
21762,8
21763,3
21764,5
21765,6
21766,9
21767,0
21768,2
21769,6
21770,1
21771,9
21772,1
21773,9
21774,9
21775,6
21776,4
21777,0
21778,0
21779,9
21780,8
21781,2
21782,4
21783,9
21784,3
21785,1
21786,3
21787,8
21788,0
21789,1
21790,1
21791,6
21792,1
21793,1
21794,6
21795,8
21796,6
21797,2
21798,8
21799,0
21800,4
21801,0
21802,8
21803,3
21804,3
21805,0
21806,0
21807,6
21808,7
21809,1
21810,2
21811,0
21812,8
21813,3
21814,5
21815,9
21816,1
21817,9
21818,5
21819,8
21820,0
21821,1
21822,1
21823,7
21824,4
21825,4
21826,4
21827,7
21828,3
21829,0
21830,7
21831,1
21832,4
21833,0
21834,2
21835,3
21836,1
21837,1
21838,8
21839,9
21840,3
21841,0
21842,6
21843,9
21844,2
21845,0
21846,7
21847,3
21848,9
21849,8
21850,6
21851,8
21852,3
21853,7
21854,0
21855,1
21856,3
21857,4
21858,6
21859,0
21860,3
21861,3
21862,1
21863,9
21864,2
21865,0
21866,3
21867,7
21868,7
21869,2
21870,3
21871,1
21872,7
21873,9
21874,2
21875,1
21876,9
21877,0
21878,3
21879,1
21880,6
21881,7
21882,4
21883,2
21884,9
21885,1
21886,1
21887,6
21888,3
21889,8
21890,6
21891,8
21892,8
21893,0
21894,0
21895,1
21896,1
21897,2
21898,7
21899,0
21900,0
21901,4
21902,9
21903,5
21904,9
21905,6
21906,7
21907,8
21908,8
21909,9
21910,8
21911,0
21912,7
21913,1
21914,9
21915,6
21916,8
21917,3
21918,8
21919,4
21920,1
21921,5
21922,4
